"MS1.MS2" "AT" "BE" "BG" "CH" "CY" "CZ" "DE" "DK" "EE" "EL" "ES" "FI" "FR" "HR" "HU" "IE" "IS" "IT" "LI" "LT" "LU" "LV" "ME" "MK" "MT" "NL" "NO" "PL" "PT" "RO" "SE" "SI" "SK" "TR" "UK"
"BG-AT" 183142.207262211 0 254053.107347318 0 0 0 0 0 0 0 0 0 0 55263.3917908701 188430.312908356 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36016.4205680251 0 0 0
"BG-BE" 285941.669850537 143011.511607488 255350.66990145 0 0 0 531990.201905488 0 0 0 0 0 0 34947.6769242759 210072.527426672 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12792.7422048045 0 0 0
"BG-BG" 0 0 186926.281145171 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BG-CH" 0 0 188996.088447874 142133.648001938 0 0 0 0 0 0 0 0 0 100121.369432994 0 0 0 281210.975835093 0 0 0 0 0 0 0 0 0 0 0 0 0 138467.270379016 0 0 0
"BG-CY" 0 0 135457.456932649 0 43377.2071737322 0 0 0 0 52590.2069386957 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 858122.426975325 0
"BG-CZ" 0 0 180112.068720828 0 0 156501.673723487 0 0 0 0 0 0 0 0 241912.952167134 0 0 0 0 0 0 0 0 0 0 0 0 0 0 341549.386935837 0 0 156805.795726142 0 0
"BG-DE" 243038.722291129 0 203823.028242813 0 0 11238.3230665531 347105.161927141 0 0 0 0 0 0 0 257525.535903322 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21253.8802871273 0 0 0 0 0
"BG-DK" 0 0 151485.668899326 0 0 73700.0151764738 187208.892329622 24541.3775967623 0 0 0 0 0 0 200665.350399538 0 0 0 0 0 0 0 0 0 0 0 0 422178.495572391 0 379249.685207233 0 0 178948.61248936 0 0
"BG-EE" 0 0 128572.381677521 0 0 0 0 0 85306.9791893461 0 0 0 0 0 0 0 0 0 0 206633.574268128 0 198712.295918094 0 0 0 0 0 0 0 447931.024621493 0 0 0 0 0
"BG-EL" 0 0 127391.356923937 0 0 0 0 0 0 60535.8737706456 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
